"time","signal","delayedSignals[5]","delayedSignals[4]","delayedSignals[3]","delayedSignals[2]","delayedSignals[1]"
0.426,0.4483832160900323,0.1626371651948834,0.7115356772092851,0.9886517447379141,0.8881364488135447,0.4483832160900323
0.428,0.4371157666509329,0.17502305897527584,0.7203090248879067,0.9904614256966512,0.8822912264349534,0.4371157666509329
0.43,0.4257792915650729,0.18738131458572443,0.7289686274214113,0.9921147013144779,0.8763066800438637,0.4257792915650729
0.432,0.4143755809932843,0.19970998051440686,0.7375131173581737,0.9936113105200084,0.8701837546695259,0.4143755809932843
0.434,0.40290643571366275,0.21200710992205446,0.7459411454241819,0.9949510169813002,0.8639234171928356,0.40290643571366275
0.436,0.39137366683720237,0.224270760949381,0.7542513807361035,0.9961336091431725,0.8575266561936524,0.39137366683720237
0.438,0.3797790955218014,0.23649899702372454,0.7624425110114477,0.9971589002606139,0.850994481794692,0.3797790955218014
0.44,0.36812455268467814,0.24868988716485466,0.770513242775789,0.9980267284282716,0.8443279255020152,0.36812455268467814
0.442,0.3564118787132508,0.26084150628989683,0.7784623015670232,0.9987369566060175,0.837528040042142,0.3564118787132508
0.444,0.34464292317451706,0.27295193551732505,0.7862884321366187,0.9992894726405892,0.8305958991958129,0.34464292317451706
0.446,0.3328195445229865,0.285019262469976,0.7939903986478352,0.9996841892832999,0.8235325976284276,0.3328195445229865
0.448,0.3209436098072097,0.29704158157703486,0.8015669848708764,0.9999210442038161,0.816339250717184,0.3209436098072097
0.45,0.3090169943749475,0.30901699437494734,0.8090169943749473,1,0.8090169943749475,0.3090169943749475
0.452,0.2970415815770349,0.32094360980720943,0.8163392507171838,0.9999210442038161,0.8015669848708769,0.2970415815770349
0.454,0.28501926246997605,0.33281954452298657,0.8235325976284273,0.9996841892832999,0.7939903986478355,0.28501926246997605
0.456,0.27295193551732505,0.344642923174517,0.8305958991958124,0.9992894726405892,0.786288432136619,0.27295193551732505
0.458,0.26084150628989705,0.3564118787132507,0.8375280400421415,0.9987369566060175,0.7784623015670235,0.26084150628989705
0.46,0.24868988716485482,0.3681245526846779,0.844327925502015,0.9980267284282716,0.7705132427757893,0.24868988716485482
0.462,0.2364989970237246,0.37977909552180106,0.8509944817946917,0.9971589002606139,0.7624425110114481,0.2364989970237246
0.464,0.224270760949381,0.3913736668372024,0.8575266561936522,0.9961336091431725,0.754251380736104,0.224270760949381
0.466,0.2120071099220548,0.40290643571366264,0.8639234171928352,0.9949510169813002,0.7459411454241822,0.2120071099220548
0.468,0.19970998051440705,0.41437558099328414,0.8701837546695256,0.9936113105200084,0.7375131173581739,0.19970998051440705
0.47,0.18738131458572502,0.4257792915650724,0.8763066800438635,0.9921147013144778,0.7289686274214114,0.18738131458572502
0.472,0.1750230589752763,0.4371157666509326,0.8822912264349531,0.9904614256966512,0.720309024887907,0.1750230589752763
