"time","delayedSignals[1,1]","delayedSignals[1,2]","delayedSignals[2,1]","delayedSignals[2,2]","delayedSignals[3,1]","delayedSignals[3,2]","delayedSignals[4,1]","delayedSignals[4,2]","delayedSignals[5,1]","delayedSignals[5,2]","signal[1]","signal[2]"
0.206,0.9620276715860858,0.2729519355173254,0.6178596130903342,0.7862884321366189,0.0376901826699344,0.9992894726405892,0,1,0,1,0.9620276715860858,0.2729519355173254
0.208,0.9653816388332739,0.260841506289897,0.6276913612907004,0.7784623015670235,0.050244318179769425,0.9987369566060175,0,1,0,1,0.9653816388332739,0.260841506289897
0.21,0.9685831611286311,0.24868988716485496,0.6374239897486895,0.7705132427757893,0.06279051952931325,0.9980267284282716,0,1,0,1,0.9685831611286311,0.24868988716485496
0.212,0.9716317329146739,0.23649899702372476,0.6470559615694441,0.7624425110114479,0.07532680552793261,0.9971589002606139,0,1,0,1,0.9716317329146739,0.23649899702372476
0.214,0.9745268727865771,0.22427076094938117,0.6565857557529564,0.7542513807361039,0.08785119655074307,0.9961336091431725,0,1,0,1,0.9745268727865771,0.22427076094938117
0.216,0.9772681235681935,0.21200710992205474,0.6660118674342516,0.7459411454241822,0.10036171485121481,0.9949510169813002,0,1,0,1,0.9772681235681935,0.21200710992205474
0.218,0.9798550523842469,0.199709980514407,0.6753328081210244,0.7375131173581739,0.1128563848734816,0.9936113105200084,0,1,0,1,0.9798550523842469,0.199709980514407
0.22,0.9822872507286886,0.18738131458572474,0.6845471059286886,0.7289686274214116,0.1253332335643042,0.9921147013144779,0,1,0,1,0.9822872507286886,0.18738131458572474
0.222,0.9845643345292053,0.17502305897527604,0.6936533058128049,0.7203090248879069,0.137790290684638,0.9904614256966512,0,1,0,1,0.9845643345292053,0.17502305897527604
0.224,0.986685944207868,0.16263716519488372,0.7026499697988492,0.7115356772092853,0.150225589120757,0.9886517447379141,0,1,0,1,0.986685944207868,0.16263716519488372
0.226,0.9886517447379141,0.15022558912075706,0.7115356772092853,0.7026499697988492,0.16263716519488355,0.986685944207868,0,1,0,1,0.9886517447379141,0.15022558912075706
0.228,0.9904614256966512,0.13779029068463797,0.7203090248879069,0.6936533058128049,0.175023058975276,0.9845643345292053,0,1,0,1,0.9904614256966512,0.13779029068463797
0.23,0.9921147013144779,0.12533323356430426,0.7289686274214116,0.6845471059286886,0.1873813145857246,0.9822872507286887,0,1,0,1,0.9921147013144779,0.12533323356430426
0.232,0.9936113105200084,0.1128563848734816,0.7375131173581739,0.6753328081210244,0.19970998051440703,0.9798550523842469,0,1,0,1,0.9936113105200084,0.1128563848734816
0.234,0.9949510169813002,0.10036171485121491,0.7459411454241821,0.6660118674342516,0.21200710992205463,0.9772681235681935,0,1,0,1,0.9949510169813002,0.10036171485121491
0.236,0.9961336091431725,0.08785119655074332,0.7542513807361036,0.6565857557529565,0.224270760949381,0.9745268727865771,0,1,0,1,0.9961336091431725,0.08785119655074332
0.238,0.9971589002606139,0.07532680552793275,0.7624425110114478,0.6470559615694444,0.23649899702372454,0.971631732914674,0,1,0,1,0.9971589002606139,0.07532680552793275
0.24,0.9980267284282716,0.06279051952931353,0.7705132427757891,0.6374239897486897,0.24868988716485466,0.9685831611286311,0,1,0,1,0.9980267284282716,0.06279051952931353
0.242,0.9987369566060175,0.0502443181797696,0.7784623015670233,0.6276913612907006,0.26084150628989683,0.9653816388332739,0,1,0,1,0.9987369566060175,0.0502443181797696
0.244,0.9992894726405892,0.037690182669934694,0.7862884321366188,0.6178596130903344,0.27295193551732505,0.9620276715860859,0,1,0,1,0.9992894726405892,0.037690182669934694
0.246,0.9996841892832999,0.02513009544333753,0.7939903986478353,0.6079302976946055,0.285019262469976,0.9585217890173758,0,1,0,1,0.9996841892832999,0.02513009544333753
0.248,0.9999210442038161,0.012566039883352776,0.8015669848708765,0.5979049830575189,0.29704158157703486,0.954864544746643,0,1,0,1,0.9999210442038161,0.012566039883352776
0.25,1,6.123233995736766e-17,0.8090169943749475,0.5877852522924731,0.30901699437494734,0.9510565162951535,0,1,0,1,1,6.123233995736766e-17
0.252,0.9999210442038161,-0.012566039883352653,0.8163392507171839,0.5775727034222676,0.32094360980720943,0.9470983049947443,0,1,0,1,0.9999210442038161,-0.012566039883352653
